ip_address,packet_count,type
192.168.15.80,457,source
146.112.41.2,115,source
142.250.114.102,39,source
173.194.208.93,32,source
142.250.113.101,29,source
34.120.85.253,25,source
142.250.114.101,25,source
184.105.99.43,20,source
142.250.115.138,18,source
142.251.116.95,17,source
142.250.115.100,16,source
104.18.41.41,16,source
104.16.102.112,14,source
18.97.36.8,13,source
185.70.42.37,12,source
142.250.113.95,12,source
35.190.80.1,10,source
142.250.115.94,9,source
104.16.103.112,8,source
108.138.167.75,8,source
192.168.15.80,481,destination
146.112.41.2,114,destination
142.250.114.102,31,destination
173.194.208.93,26,destination
34.120.85.253,25,destination
142.250.113.101,24,destination
142.250.114.101,23,destination
184.105.99.43,22,destination
104.18.41.41,16,destination
142.251.116.95,16,destination
142.250.115.138,16,destination
142.250.115.100,15,destination
18.97.36.8,13,destination
104.16.102.112,12,destination
185.70.42.37,10,destination
108.138.167.75,9,destination
142.250.113.95,9,destination
35.190.80.1,8,destination
104.16.103.112,8,destination
142.250.113.17,8,destination
